Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
ResNet-56,Filter_Response_Normalization,CIFAR-10,16,0.0002643114494843474,0.0407832707802082,0.8436442995690979,43.618208,81.55555555555556,0.8233402,True,85.33130601792574,True,True,32.0,0.9557518730396907
ResNet-56,Filter_Response_Normalization,CIFAR-10,16,0.0015609109744546372,0.0545645608216488,3.51237132933617,251.00554,70.16666666666667,0.79544425,False,72.3631562099872,False,True,32.0,0.9696462998801955
ResNet-56,Filter_Response_Normalization,CIFAR-10,256,0.0016419426038293806,0.2144921721195777,7.600641702069867,66.07699000000001,79.46666666666667,0.54978347,False,95.60647551546391,False,True,32.0,0.8311849823792876
ResNet-56,Filter_Response_Normalization,CIFAR-10,256,0.00038444330606819156,0.0664479816060016,1.6882710084386665,39.498117,75.02222222222223,0.8895828,False,79.61501288659794,True,True,32.0,0.9423125049176643
ResNet-56,Filter_Response_Normalization,CIFAR-10,16,0.0008519864197379847,0.0145863820399541,2.721924520866363,327.46078,52.61111111111112,0.9385242,False,53.3050576184379,True,True,32.0,0.9869816010275403
ResNet-56,Filter_Response_Normalization,CIFAR-100,16,0.0006001914609389265,0.0971559607568599,3.0444688323091285,52.389887,44.355555555555554,0.6684445,True,49.3437900128041,False,True,32.0,0.8989085666918946
ResNet-56,Filter_Response_Normalization,CIFAR-100,256,0.00028447112334999456,0.2939835085404512,98.8536309485392,7.98435,58.71111111111111,0.40021288,True,99.5409149484536,False,True,32.0,0.5898188814269403
ResNet-56,Filter_Response_Normalization,CIFAR-100,256,8.281422746722283e-05,0.3068625070362108,376.8755678916819,2.1129465,61.65555555555556,0.61175096,True,99.95167525773196,True,True,32.0,0.61685364849136
ResNet-56,Filter_Response_Normalization,CIFAR-100,16,0.0004895928852477459,0.0671544373302019,1.3001788113062684,51.147894,48.05555555555556,0.7076905,True,54.0252880921895,True,True,32.0,0.8895011438634606
ResNet-56,Filter_Response_Normalization,CIFAR-100,16,0.00220561290589964,0.054035843163667,2.870044676304261,297.96856,20.866666666666667,0.84683514,False,21.919014084507044,False,True,32.0,0.9519892904953146
ResNet-56,Filter_Response_Normalization,CIFAR-100,256,0.002136967438021093,0.3093042734747369,16.842860343618653,62.145063,43.27777777777778,0.7443028,False,54.957313144329895,False,True,32.0,0.7874798694055674
ResNet-56,Filter_Response_Normalization,CIFAR-100,256,0.0010296735272157973,0.242981822687445,15.39333045010222,44.415506,45.1,0.85674363,False,54.139819587628864,True,True,32.0,0.8330282653972033
ResNet-56,Filter_Response_Normalization,CIFAR-100,16,0.0009394801278681074,0.0196613442151135,0.6660822164097954,249.0653,14.811111111111112,0.91687363,False,14.924775928297056,True,True,32.0,0.9923841525171284
VGG,Filter_Response_Normalization,CIFAR-10,16,0.00011208902766140464,0.0855215332481102,6.179189392888607,10.746517,80.16666666666667,0.43388566,True,94.28617157490396,False,True,32.0,0.8502484015164377
VGG,Filter_Response_Normalization,CIFAR-10,256,5.810614580943182e-06,0.0004798310489935,0.1070100175965681,15.833482,82.0,0.21773352,True,100.0,False,True,32.0,0.82
